,university,relationships,break ups,divorce,wedding,death,family,friendship
Document 336,False,False,True,False,False,True,False,True
Document 337,False,False,False,False,False,False,True,False
Document 338,False,True,False,False,False,False,True,False
Document 339,False,True,True,False,False,False,False,False
Document 340,False,True,False,False,False,False,True,False
Document 341,False,False,False,False,False,False,True,False
Document 342,True,False,False,False,False,False,False,False
Document 343,False,False,False,False,False,True,False,False
Document 344,False,False,False,False,False,False,False,False
Document 345,False,True,False,False,False,True,False,False
Document 346,True,False,False,False,False,False,False,True
Document 347,True,False,False,False,False,False,False,False
Document 348,True,False,False,False,True,False,False,False
Document 349,False,False,False,False,True,False,False,False
Document 350,False,False,False,False,False,True,False,True
Document 351,False,False,True,False,False,True,False,False
Document 352,False,False,False,False,False,False,False,True
Document 353,False,True,False,False,True,False,False,False
Document 354,False,False,False,False,False,True,False,False
Document 355,False,True,False,True,False,False,True,False
Document 356,True,False,False,False,False,False,False,False
Document 357,False,False,False,False,True,False,False,False
Document 358,True,True,False,False,False,False,False,False
Document 359,False,True,False,False,False,False,False,False
Document 360,False,True,False,False,False,True,False,False
Document 361,False,True,False,False,False,False,False,True
Document 362,False,False,False,False,False,True,False,True
Document 363,False,False,False,False,False,False,True,True
Document 364,False,False,True,False,True,False,False,False
Document 365,False,False,True,True,False,False,False,False
Document 366,False,False,False,True,False,False,False,True
Document 367,True,False,False,False,False,False,False,True
Document 368,True,False,True,False,False,False,False,False
Document 369,False,False,False,False,False,False,False,True
Document 370,False,False,True,False,False,False,False,True
Document 371,False,False,True,False,True,False,False,False
Document 372,False,False,False,False,False,False,True,True
Document 373,False,False,False,False,False,False,False,True
Document 374,False,True,False,False,False,False,False,False
Document 375,False,False,False,True,False,False,False,True
Document 376,False,False,False,False,False,False,True,False
Document 377,False,False,False,False,False,False,True,False
Document 378,False,False,False,True,False,False,False,False
Document 379,True,True,False,True,False,False,False,False
Document 380,False,False,True,False,False,True,False,False
Document 381,False,False,False,True,False,False,False,False
Document 382,False,False,False,False,False,False,False,True
Document 383,False,True,False,False,True,False,False,False
Document 384,True,False,True,True,False,False,False,False
Document 385,False,True,False,False,False,False,True,True
Document 386,False,False,False,False,False,False,False,True
Document 387,True,False,False,False,False,False,False,True
Document 388,False,True,False,False,False,False,True,False
Document 389,False,False,False,True,False,False,False,True
Document 390,False,False,False,False,True,False,False,True
Document 391,False,False,False,True,False,False,False,True
Document 392,False,False,False,True,False,True,True,False
Document 393,False,True,False,False,False,True,False,False
Document 394,True,True,False,False,False,False,False,True
Document 395,False,False,False,False,False,False,False,False
Document 396,False,False,True,False,False,True,False,False
Document 397,False,False,True,False,False,False,False,False
Document 398,True,False,False,False,False,False,False,True
Document 399,False,False,False,True,False,False,False,True
Document 400,False,False,False,False,True,False,False,True
Document 401,False,False,False,False,True,False,False,False
Document 402,False,False,False,False,False,False,False,True
Document 403,False,False,False,False,False,False,False,True
Document 404,False,False,False,False,False,False,False,True
Document 405,False,False,False,False,False,True,False,True
Document 406,False,False,False,True,False,False,False,False
Document 407,False,False,False,False,False,False,False,True
Document 408,False,True,False,True,False,False,False,True
Document 409,False,False,False,False,False,False,False,True
Document 410,False,False,True,False,False,False,False,True
Document 411,False,False,False,True,False,False,True,True
Document 412,False,False,False,True,False,False,False,False
Document 413,True,False,False,False,False,False,False,True
Document 414,False,False,False,False,True,True,False,False
Document 415,False,True,False,False,False,True,False,True
