,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 385,8.0,28.2,2.6,1.6,2.5,0.1,27.4,29.6,Topic 7,29.6
Document 386,1.9,15.9,2.8,1.2,5.4,10.9,0.0,61.7,Topic 7,61.7
Document 387,38.0,2.1,6.5,13.6,1.8,5.8,10.4,21.7,Topic 0,38.0
Document 388,10.3,20.8,2.1,4.9,1.4,1.7,46.3,12.6,Topic 6,46.3
Document 389,13.4,12.6,6.1,22.2,1.0,4.0,7.7,33.0,Topic 7,33.0
Document 390,7.0,4.9,7.1,5.8,24.3,11.3,5.6,34.0,Topic 7,34.0
Document 391,5.4,18.8,9.8,26.2,1.9,0.2,0.2,37.4,Topic 7,37.4
Document 392,2.7,0.2,5.5,32.1,0.4,21.0,36.6,1.5,Topic 6,36.6
Document 393,3.0,41.6,12.6,4.1,5.2,20.3,2.8,10.4,Topic 1,41.6
Document 394,40.5,24.0,0.1,0.0,2.1,0.1,4.2,28.9,Topic 0,40.5
Document 395,4.6,19.2,10.9,13.3,19.1,7.2,7.0,18.7,Topic 1,19.2
Document 396,0.1,2.8,26.7,11.1,10.5,32.4,7.4,9.0,Topic 5,32.4
Document 397,3.0,11.4,46.5,7.9,0.5,13.5,0.8,16.4,Topic 2,46.5
Document 398,22.6,4.5,3.8,11.9,8.4,0.7,2.5,45.6,Topic 7,45.6
Document 399,9.5,12.9,1.6,21.1,18.9,10.5,1.4,24.0,Topic 7,24.0
Document 400,0.4,8.9,9.2,2.1,20.3,4.2,2.1,52.7,Topic 7,52.7
Document 401,12.2,3.2,9.8,2.4,40.2,9.2,5.0,18.1,Topic 4,40.2
Document 402,6.0,8.1,5.6,11.2,7.4,3.2,3.4,55.3,Topic 7,55.3
Document 403,0.9,14.9,2.1,7.1,6.5,0.2,5.8,62.5,Topic 7,62.5
Document 404,17.9,5.5,14.0,12.1,18.8,5.1,1.0,25.6,Topic 7,25.6
Document 405,6.8,7.8,5.4,1.0,13.5,43.2,1.4,21.0,Topic 5,43.2
Document 406,0.5,8.9,16.8,43.5,8.8,8.0,13.3,0.2,Topic 3,43.5
Document 407,3.9,2.1,13.3,5.9,4.9,11.1,1.1,57.7,Topic 7,57.7
Document 408,1.7,21.4,1.0,26.9,5.2,16.8,0.2,26.7,Topic 3,26.9
Document 409,8.8,11.9,0.3,0.1,16.0,0.5,18.5,43.8,Topic 7,43.8
Document 410,0.2,14.1,27.8,15.6,1.2,3.7,2.0,35.2,Topic 7,35.2
Document 411,5.6,2.4,6.6,29.6,8.3,2.6,23.0,21.8,Topic 3,29.6
Document 412,14.0,9.3,14.5,39.5,2.8,5.3,12.7,1.8,Topic 3,39.5
Document 413,24.3,3.4,10.4,0.1,3.1,3.1,1.9,53.7,Topic 7,53.7
Document 414,19.9,0.1,4.1,6.0,33.2,28.5,1.2,7.0,Topic 4,33.2
Document 415,6.1,25.1,3.6,13.1,0.2,20.9,3.4,27.6,Topic 7,27.6
Document 416,3.2,5.7,46.9,1.2,6.2,17.5,4.7,14.6,Topic 2,46.9
Document 417,5.5,25.7,1.4,37.9,10.2,6.7,6.0,6.7,Topic 3,37.9
Document 418,10.4,16.1,7.6,0.4,12.1,21.0,10.0,22.4,Topic 7,22.4
Document 419,0.8,9.6,18.7,20.9,2.2,35.3,0.5,12.1,Topic 5,35.3
Document 420,14.7,11.7,21.2,3.2,1.2,28.5,2.1,17.5,Topic 5,28.5
Document 421,3.6,13.1,4.4,37.0,3.3,0.3,0.2,38.2,Topic 7,38.2
Document 422,0.7,14.2,25.2,2.2,5.1,22.1,10.5,20.0,Topic 2,25.2
Document 423,3.4,7.2,22.7,23.1,1.4,15.7,0.6,25.9,Topic 7,25.9
Document 424,1.2,24.5,12.3,6.6,8.8,22.5,0.4,23.8,Topic 1,24.5
Document 425,0.0,25.8,47.9,23.8,0.8,0.2,0.9,0.6,Topic 2,47.9
Document 426,36.0,19.0,9.4,11.1,2.6,2.7,1.4,17.8,Topic 0,36.0
Document 427,7.8,5.5,1.4,8.2,52.5,6.4,11.6,6.5,Topic 4,52.5
