,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 894,7.5,1.3,8.8,0.0,0.0,6.1,21.8,54.5,Topic 7,54.5
Document 895,0.1,0.0,0.0,0.1,17.0,0.1,38.6,44.1,Topic 7,44.1
Document 896,0.1,7.6,20.6,0.1,16.2,2.3,9.7,43.4,Topic 7,43.4
Document 897,3.8,0.0,0.0,0.0,0.0,41.9,15.0,39.2,Topic 5,41.9
Document 898,0.1,14.8,22.9,7.8,0.0,0.0,54.2,0.2,Topic 6,54.2
Document 899,6.4,1.8,3.3,0.1,0.0,74.7,0.3,13.3,Topic 5,74.7
Document 900,13.1,21.0,22.0,0.1,11.1,0.5,23.2,9.1,Topic 6,23.2
Document 901,0.0,0.2,0.0,11.0,9.8,36.2,0.0,42.8,Topic 7,42.8
Document 902,0.1,38.4,0.3,6.6,0.3,4.3,0.0,50.0,Topic 7,50.0
Document 903,1.6,4.4,13.4,0.0,0.0,44.6,0.0,35.9,Topic 5,44.6
Document 904,0.1,3.5,0.0,22.1,0.3,28.9,11.7,33.3,Topic 7,33.3
Document 905,0.1,9.7,8.1,5.6,19.5,0.4,22.7,33.9,Topic 7,33.9
Document 906,17.2,0.8,26.8,0.0,0.2,14.5,15.2,25.2,Topic 2,26.8
Document 907,0.3,17.4,5.3,7.3,25.8,0.2,3.0,40.7,Topic 7,40.7
Document 908,0.1,23.3,0.6,23.2,12.7,3.3,0.1,36.8,Topic 7,36.8
Document 909,4.4,5.7,0.1,0.9,1.9,17.4,0.1,69.5,Topic 7,69.5
Document 910,16.5,0.1,9.4,7.9,7.5,1.0,0.0,57.6,Topic 7,57.6
Document 911,13.6,0.0,8.7,0.1,0.0,44.0,7.3,26.2,Topic 5,44.0
Document 912,52.4,0.0,0.1,0.5,0.0,0.0,0.0,46.9,Topic 0,52.4
Document 913,45.5,0.1,15.0,0.1,0.1,0.2,23.4,15.8,Topic 0,45.5
Document 914,0.0,53.9,0.0,20.9,0.0,12.3,0.4,12.5,Topic 1,53.9
Document 915,25.7,0.0,32.2,9.7,0.4,9.7,16.3,6.0,Topic 2,32.2
Document 916,0.3,0.0,0.0,61.8,27.1,0.2,0.0,10.6,Topic 3,61.8
Document 917,8.1,12.8,9.1,0.0,0.0,42.0,1.7,26.2,Topic 5,42.0
Document 918,29.7,1.1,0.1,0.1,0.0,3.9,64.8,0.4,Topic 6,64.8
Document 919,0.0,43.3,0.4,0.0,1.1,24.6,0.2,30.4,Topic 1,43.3
Document 920,3.0,16.9,16.2,1.1,4.2,4.1,0.4,54.0,Topic 7,54.0
Document 921,16.5,10.8,5.7,15.6,0.0,0.1,26.2,25.0,Topic 6,26.2
Document 922,0.3,8.3,0.0,0.0,8.8,0.1,7.6,74.9,Topic 7,74.9
Document 923,9.1,8.9,1.1,19.3,0.0,0.0,37.6,24.1,Topic 6,37.6
Document 924,7.9,0.0,0.0,9.4,0.0,0.1,5.2,77.5,Topic 7,77.5
Document 925,0.0,0.2,55.1,5.2,0.1,22.8,10.1,6.5,Topic 2,55.1
Document 926,0.0,0.0,1.3,0.0,0.1,31.4,1.3,65.9,Topic 7,65.9
Document 927,0.1,27.5,0.0,0.1,21.6,7.0,16.2,27.5,Topic 1,27.5
Document 928,0.0,31.8,0.1,8.0,12.7,0.0,0.1,47.3,Topic 7,47.3
Document 929,40.1,0.0,0.0,6.6,0.3,5.2,34.4,13.3,Topic 0,40.1
Document 930,0.1,0.3,2.7,0.0,4.9,18.6,0.7,72.7,Topic 7,72.7
Document 931,0.1,0.0,17.9,51.0,0.1,0.1,13.8,17.0,Topic 3,51.0
Document 932,0.0,36.6,0.0,0.0,0.1,4.8,0.0,58.5,Topic 7,58.5
Document 933,0.3,0.7,33.5,0.0,0.1,25.9,0.0,39.4,Topic 7,39.4
Document 934,0.0,0.1,0.1,56.7,0.0,26.0,8.4,8.6,Topic 3,56.7
Document 935,32.0,0.2,5.8,10.9,0.0,0.2,7.1,43.7,Topic 7,43.7
Document 936,18.2,1.1,6.6,0.0,0.1,2.1,27.1,44.8,Topic 7,44.8
Document 937,30.1,13.2,0.1,7.1,0.0,1.1,35.2,13.2,Topic 6,35.2
Document 938,31.4,0.1,0.0,7.0,12.5,0.0,17.3,31.6,Topic 7,31.6
Document 939,0.0,73.7,0.0,0.0,0.0,0.0,26.1,0.1,Topic 1,73.7
